name,review_count,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,restaurant_main_type,star,neighborhood
Socarrat Paella Bar - Nolita,634,4.5634,4.4,4.4,4.4,4.1,$31 to $50,1,3,7,21,68,Spanish,0.0,Greenwich Village and Soho
Society Cafe,132,4.4132,4.2,4.2,4.4,4.0,$31 to $50,1,4,12,24,59,American,0.0,Chelsea and Clinton
Sofrito NYC,566,3.9566,4.1,3.7,4.2,3.7,$30 and under,10,10,13,8,59,Spanish,0.0,Inwood and Washington Heights
SOUTHGATE Bar & Restaurant,768,4.3768,4.2,4.2,4.3,3.7,$31 to $50,0,6,14,18,62,American,0.0,Chelsea and Clinton
STATE Grill and Bar,492,4.3492,4.4,4.4,4.3,4.1,$31 to $50,1,3,14,25,57,American,0.0,
Stella 34 Trattoria,1973,4.41973,4.4,4.3,4.3,4.0,$30 and under,1,2,9,32,56,Italian,0.0,Chelsea and Clinton
STK - NYC - Meatpacking,1513,4.41513,4.5,4.1,4.4,3.8,$31 to $50,3,3,11,21,62,Steakhouse,0.0,Greenwich Village and Soho
STK - NYC - Midtown,2678,4.5267800000000005,4.5,4.2,4.5,3.8,$31 to $50,2,3,8,21,66,Steakhouse,0.0,Chelsea and Clinton
Storico,1240,4.3124,4.2,4.2,4.2,3.9,$31 to $50,1,3,11,34,51,Italian,0.0,Upper West Side
Strip House Midtown,1586,4.51586,4.5,4.4,4.4,3.8,$50 and over,2,3,5,21,69,Steakhouse,0.0,Chelsea and Clinton
Strip House Speakeasy,222,4.6222,4.7,4.6,4.6,4.1,$50 and over,0,1,6,26,67,Steakhouse,0.0,Lower East Side
Sutton Inn,685,4.6685,4.7,4.6,4.4,4.4,$30 and under,1,1,4,25,69,American,0.0,Gramercy Park and Murray Hill
Suzuki,88,4.588,4.4,4.6,4.4,4.1,$50 and over,2,2,5,23,68,Japanese & Koren,0.0,Chelsea and Clinton
Taboon,1545,4.71545,4.7,4.5,4.4,4.1,$50 and over,0,1,3,20,76,Other,0.0,Chelsea and Clinton
Talde,216,4.4216,4.4,4.3,4.2,4.0,$30 and under,1,3,10,26,60,Asian,0.0,
Tamarind - Tribeca,2458,4.7245800000000004,4.7,4.6,4.6,4.2,$31 to $50,1,1,4,16,78,Indian,0.0,Greenwich Village and Soho
Tao Downtown,2291,4.62291,4.5,4.3,4.7,4.1,$50 and over,2,2,7,16,73,Asian,0.0,Chelsea and Clinton
Tao Uptown,10600,4.6106,4.5,4.4,4.6,4.1,$31 to $50,1,2,7,21,69,Asian,0.0,Gramercy Park and Murray Hill
Tarallucci e Vino NoMad,116,4.3116,4.1,4.0,4.1,3.7,$31 to $50,1,6,10,29,54,Italian,0.0,Gramercy Park and Murray Hill
Tavern 62 by David Burke,518,4.4518,4.4,4.4,4.5,4.0,$31 to $50,2,2,10,25,61,American,0.0,Upper East Side
Tavern on the Green,7029,4.6702900000000005,4.4,4.4,4.7,4.0,$31 to $50,1,2,6,19,72,American,0.0,Upper West Side
T-BAR Steak & Lounge (Upper East Side),1270,4.6127,4.5,4.4,4.3,4.1,$31 to $50,1,1,5,24,69,Steakhouse,0.0,Upper East Side
Ted's Montana Grill - NYC,938,4.3938,4.2,4.2,4.1,4.0,$31 to $50,3,2,7,37,51,American,0.0,Chelsea and Clinton
Temple Court,392,4.6392,4.5,4.4,4.7,4.1,$31 to $50,1,1,7,20,71,American,0.0,Lower East Side
Tender Restaurant,488,4.3488,4.3,4.2,4.2,3.8,$31 to $50,2,2,10,39,47,American,0.0,Chelsea and Clinton
Thalassa,1224,4.61224,4.6,4.6,4.7,4.4,$31 to $50,1,1,4,23,71,Seafood,0.0,Greenwich Village and Soho
The Capital Grille - NY – Chrysler Center,3491,4.73491,4.7,4.7,4.6,4.2,$50 and over,0,1,4,17,78,Steakhouse,0.0,Gramercy Park and Murray Hill
The Capital Grille - NY – Time Life Building,3338,4.73338,4.6,4.6,4.6,4.2,$50 and over,1,1,5,17,76,Steakhouse,0.0,Chelsea and Clinton
The Cecil Steakhouse,1213,4.21213,4.2,4.1,4.4,4.0,$31 to $50,4,5,12,25,54,American,0.0,Central Harlem
The Dining Room at The Metropolitan Museum of Art,939,4.4939,4.4,4.2,4.4,3.8,$50 and over,2,3,9,27,59,Contemporary American,0.0,Upper East Side
The Dutch,2125,4.62125,4.5,4.4,4.4,3.9,$31 to $50,1,2,6,19,72,American,0.0,
The House in Gramercy Park,1193,4.51193,4.4,4.5,4.5,4.0,$31 to $50,2,1,8,22,67,American,0.0,Lower East Side
The Lambs Club - Bar,376,4.6376,4.3,4.5,4.5,3.8,$50 and over,1,1,8,17,73,Contemporary American,0.0,Chelsea and Clinton
The Leopard at des Artistes,1329,4.5132900000000005,4.4,4.5,4.6,4.0,$50 and over,2,2,5,24,67,Italian,0.0,Upper West Side
The Library at the Public,801,4.2801,4.0,4.5,4.5,3.7,$30 and under,2,3,13,33,49,American,0.0,Lower East Side
The Morgan Dining Room,351,4.4351,4.2,4.4,4.5,4.0,$30 and under,1,3,10,24,62,American,0.0,Gramercy Park and Murray Hill
The National Bar & Dining Rooms,2319,4.42319,4.2,4.0,4.0,3.7,$30 and under,1,2,10,29,58,Contemporary American,0.0,Gramercy Park and Murray Hill
The Palm Tribeca,1560,4.6156,4.5,4.5,4.3,4.0,$50 and over,1,2,4,19,74,Steakhouse,0.0,
The Sea Grill,3392,4.63392,4.6,4.6,4.6,4.1,$31 to $50,0,3,4,20,73,Seafood,0.0,Chelsea and Clinton
The Shakespeare,255,4.6255,4.3,4.5,4.5,4.1,$31 to $50,0,2,8,18,72,Other Europe,0.0,Gramercy Park and Murray Hill
The Stanton Social,5150,4.6515,4.5,4.4,4.5,4.0,$31 to $50,1,3,6,16,74,Other,0.0,Lower East Side
The Tuck Room- New York,160,4.1160000000000005,4.0,4.0,4.4,3.7,$30 and under,4,8,11,27,50,Other,0.0,Lower Manhattan
The View Restaurant,10389,4.310389,4.2,4.4,4.5,3.7,$31 to $50,2,5,10,25,58,Contemporary American,0.0,Chelsea and Clinton
The Wayfarer,626,4.5626,4.3,4.2,4.2,3.8,$31 to $50,1,2,7,22,68,American,0.0,Chelsea and Clinton
The Whitby Bar and Restaurant,162,4.6162,4.4,4.4,4.8,4.1,$31 to $50,0,2,8,18,72,American,0.0,Chelsea and Clinton
Tiny's & the Bar Upstairs,663,4.6663,4.5,4.2,4.5,4.1,$31 to $50,1,1,6,19,73,Contemporary American,0.0,Lower East Side
Toloache Thompson St.,381,4.5381,4.4,4.0,4.1,3.9,$31 to $50,2,2,8,20,68,Mexican,0.0,Greenwich Village and Soho
Toloache-Midtown,5178,4.55178,4.5,4.4,4.1,4.0,$30 and under,1,2,7,28,62,Mexican,0.0,Greenwich Village and Soho
Tommy Bahama - New York,1466,4.61466,4.5,4.5,4.5,4.2,$30 and under,1,1,5,23,70,American,0.0,
Trattoria Italienne,96,4.796,4.7,4.7,4.7,4.4,$30 and under,0,1,3,15,81,Italian,0.0,Gramercy Park and Murray Hill
Trattoria Zero Otto Nove,893,4.6893,4.5,4.6,4.3,4.2,$31 to $50,2,1,6,23,68,Italian,0.0,Gramercy Park and Murray Hill
Tribeca Grill,4361,4.44361,4.2,4.3,4.3,3.9,$31 to $50,1,3,11,27,58,American,0.0,Greenwich Village and Soho
Triomphe,1552,4.41552,4.3,4.5,4.3,3.8,$31 to $50,1,3,14,17,65,French,0.0,Chelsea and Clinton
Tudor City Steak House,76,4.376,4.4,4.4,4.4,3.9,$31 to $50,2,7,5,28,58,Steakhouse,0.0,Gramercy Park and Murray Hill
Tuome,385,4.7385,4.7,4.6,4.5,4.1,$31 to $50,0,2,5,18,75,Contemporary American,0.0,Lower East Side
Tutto Il Giorno -Tribeca,315,4.7315,4.6,4.4,4.8,4.3,$50 and over,1,1,5,16,77,Italian,0.0,Greenwich Village and Soho
Untitled at the Whitney,1014,4.61014,4.6,4.5,4.4,4.1,$31 to $50,0,2,8,19,71,American,0.0,Greenwich Village and Soho
Vandal,1829,4.61829,4.5,4.4,4.7,4.1,$50 and over,1,2,6,20,71,Other,0.0,Lower East Side
Vaucluse,1078,4.5107800000000005,4.5,4.4,4.5,4.0,$31 to $50,1,3,8,18,70,French,0.0,Upper East Side
Yellow Magnolia Café,91,4.391,4.4,4.1,4.3,3.9,$30 and under,3,3,7,32,55,American,0.0,
Zengo - NYC,1909,4.51909,4.4,4.2,4.4,4.2,$31 to $50,1,2,9,25,63,Asian,0.0,Gramercy Park and Murray Hill
Zio Ristorante,546,4.6546,4.5,4.6,4.5,4.4,$31 to $50,1,3,4,24,68,Italian,0.0,Chelsea and Clinton
Zuma Japanese Restaurant - NY,678,4.7678,4.6,4.4,4.6,4.1,$50 and over,1,1,6,18,74,Japanese & Koren,0.0,Gramercy Park and Murray Hill
