name,review_count,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,restaurant_main_type,star,neighborhood
Charlie Palmer Steak,450,4.545,4.4,4.4,4.2,4.1,$31 to $50,1,3,10,19,67,Steakhouse,0.0,Chelsea and Clinton
Chazz Palminteri Italian Restaurant,764,4.5764,4.6,4.6,4.4,4.2,$50 and over,2,2,6,24,66,Italian,0.0,Chelsea and Clinton
Chez Josephine,4702,4.447019999999999,4.3,4.3,4.6,4.1,$31 to $50,1,4,8,27,60,French,0.0,Chelsea and Clinton
Churrascaria Plataforma Brazilian Steakhouse,1918,4.61918,4.6,4.6,4.4,4.2,$50 and over,1,1,5,20,73,Steakhouse,0.0,Chelsea and Clinton
Cipriani - Dolci,1112,4.4111199999999995,4.3,4.2,4.3,3.7,$31 to $50,3,3,8,23,63,Italian,0.0,Gramercy Park and Murray Hill
Cipriani - Wall Street,537,4.6537,4.5,4.5,4.5,4.0,$31 to $50,2,4,4,19,71,Italian,0.0,
Claudette,987,4.6987,4.6,4.4,4.7,4.2,$30 and under,1,1,4,20,74,French,0.0,Chelsea and Clinton
Clement,506,4.7506,4.6,4.7,4.7,4.1,$31 to $50,1,3,2,16,78,American,0.0,Chelsea and Clinton
Cleo At MONDRIAN PARK AVENUE,68,4.5680000000000005,4.6,4.2,4.4,4.1,$31 to $50,0,3,7,23,67,Mediterranean,0.0,Gramercy Park and Murray Hill
Club A Steakhouse,3371,4.83371,4.7,4.8,4.7,4.6,$31 to $50,1,1,4,10,84,Steakhouse,0.0,Gramercy Park and Murray Hill
Craft,5098,4.75098,4.7,4.7,4.6,4.1,$50 and over,1,2,4,14,79,American,0.0,Lower East Side
CUT By Wolfgang Puck at FS Downtown New York,364,4.6364,4.5,4.5,4.3,3.8,$31 to $50,1,2,7,19,71,Steakhouse,0.0,Lower Manhattan
DaDong NY,342,4.1342,4.0,4.1,4.3,3.4,$31 to $50,5,7,11,23,54,Chinese,0.0,Chelsea and Clinton
Danji,595,4.7595,4.7,4.5,4.3,4.2,$31 to $50,0,1,5,21,73,Japanese & Koren,0.0,Chelsea and Clinton
David Burke Kitchen,2612,4.22612,4.3,3.9,4.1,3.8,$31 to $50,5,2,12,25,56,American,0.0,Greenwich Village and Soho
Davio's Northern Italian Steakhouse - Manhattan,736,4.6736,4.5,4.5,4.4,4.1,$31 to $50,0,1,6,24,69,Steakhouse,0.0,Gramercy Park and Murray Hill
db Bistro moderne,6428,4.4642800000000005,4.4,4.5,4.3,3.9,$31 to $50,1,2,9,26,62,French,0.0,Chelsea and Clinton
Del Frisco's Double Eagle Steak House - New York City,7225,4.77225,4.6,4.7,4.5,4.0,$50 and over,1,2,5,16,76,Steakhouse,0.0,Chelsea and Clinton
Delmonico's,3792,4.73792,4.7,4.6,4.6,4.2,$50 and over,1,2,4,17,76,Steakhouse,0.0,Lower Manhattan
Delmonico's Kitchen,1203,4.412030000000001,4.3,4.3,4.1,3.8,$31 to $50,2,4,8,27,59,American,0.0,Chelsea and Clinton
Docks Oyster Bar and Seafood Grill,2045,4.42045,4.3,4.2,4.3,3.9,$31 to $50,1,5,8,26,60,Seafood,0.0,Gramercy Park and Murray Hill
Dos Caminos - Park,1630,4.4163,4.3,4.0,4.2,4.0,$31 to $50,2,4,9,26,59,Mexican,0.0,Gramercy Park and Murray Hill
Dos Caminos - SoHo,944,4.2944,4.0,3.6,4.0,3.6,$31 to $50,4,6,11,24,55,Mexican,0.0,Greenwich Village and Soho
Dos Caminos - Third Avenue,2396,4.32396,4.1,3.8,4.0,3.7,$31 to $50,2,5,10,25,58,Mexican,0.0,Gramercy Park and Murray Hill
Dos Caminos - Times Square,877,4.3877,4.2,4.1,3.9,3.7,$31 to $50,1,5,12,30,52,Mexican,0.0,Chelsea and Clinton
Dos Caminos – Meatpacking,1291,4.31291,4.2,3.8,4.1,3.8,$31 to $50,4,3,10,23,60,Mexican,0.0,Greenwich Village and Soho
Edi and The Wolf,306,4.5306,4.3,4.4,4.5,4.1,$30 and under,1,3,9,21,66,Other Europe,0.0,Lower East Side
El Toro Blanco,518,4.2518,4.0,3.6,4.1,3.6,$31 to $50,4,8,12,24,52,Mexican,0.0,Greenwich Village and Soho
El Vez New York,747,4.6747,4.5,4.4,4.4,4.1,$30 and under,1,2,5,20,72,Mexican,0.0,
Empellon Midtown,502,4.6502,4.5,4.5,4.4,3.8,$31 to $50,1,2,7,21,69,Mexican,0.0,Gramercy Park and Murray Hill
Empellon Taqueria,1432,4.614319999999999,4.5,4.5,4.4,4.0,$31 to $50,1,2,6,19,72,Mexican,0.0,Greenwich Village and Soho
Empire Steak House- East,307,4.4307,4.4,4.7,4.6,4.0,$50 and over,0,5,11,20,64,Steakhouse,0.0,Gramercy Park and Murray Hill
Empire Steakhouse - 237 West 54 Street off of Broadway,683,4.4683,4.4,4.5,4.3,3.9,$50 and over,2,3,14,18,63,Steakhouse,0.0,Chelsea and Clinton
Esca,4874,4.34874,4.3,4.3,4.2,3.6,$30 and under,3,5,12,25,55,Italian,0.0,Chelsea and Clinton
Essex,2167,4.32167,4.2,4.2,4.0,4.1,$30 and under,2,4,11,24,59,Other,0.0,Lower East Side
Estiatorio Milos - NY,4404,4.844040000000001,4.8,4.6,4.6,4.2,$50 and over,1,1,3,14,81,Seafood,0.0,Chelsea and Clinton
Etcetera Etcetera,2714,4.62714,4.6,4.6,4.4,4.2,$31 to $50,0,1,6,27,66,Italian,0.0,Chelsea and Clinton
Farmer & The Fish - Gramercy,463,4.3463,4.2,4.0,4.1,3.8,$30 and under,3,5,9,25,58,Other,0.0,Lower East Side
Feast,554,4.6554,4.6,4.7,4.6,4.3,$31 to $50,0,0,4,26,70,Contemporary American,0.0,Lower East Side
Felice 15 Gold Street,454,4.6454,4.5,4.5,4.4,4.2,$31 to $50,0,1,5,28,66,Italian,0.0,Lower Manhattan
Felice 64 Wine Bar,114,4.7114,4.6,4.6,4.6,4.4,$31 to $50,0,1,1,24,74,Italian,0.0,Upper East Side
Felidia,4613,4.74613,4.7,4.7,4.4,4.2,$31 to $50,1,1,5,18,75,Italian,0.0,Gramercy Park and Murray Hill
Fifty,325,4.6325,4.6,4.5,4.4,4.1,$31 to $50,0,1,3,25,71,Contemporary American,0.0,Greenwich Village and Soho
FIG & OLIVE Fifth Avenue,7186,4.57186,4.5,4.3,4.2,4.0,$31 to $50,1,3,7,25,64,Mediterranean,0.0,Upper East Side
FIG & OLIVE Meatpacking,5752,4.65752,4.5,4.3,4.6,4.2,$31 to $50,1,2,6,21,70,Mediterranean,0.0,Greenwich Village and Soho
FIG & OLIVE Uptown,2140,4.4214,4.2,4.2,4.1,3.9,$31 to $50,4,2,8,23,63,Mediterranean,0.0,Upper East Side
Fogo de Chao Brazilian Steakhouse - New York,1772,4.617719999999999,4.6,4.5,4.4,4.1,$50 and over,0,1,7,22,70,Steakhouse,0.0,Chelsea and Clinton
Fonda - East Village,529,4.5529,4.4,4.3,4.2,4.1,$31 to $50,0,3,9,18,70,Mexican,0.0,Lower East Side
Frankie & Johnnie's Steakhouse - Manhattan,1421,4.41421,4.4,4.5,4.3,3.9,$31 to $50,1,5,9,23,62,Steakhouse,0.0,Chelsea and Clinton
Frankie and Johnnie's Steakhouse - 46th Street,550,4.355,4.3,4.4,4.2,3.9,$31 to $50,1,5,12,25,57,Steakhouse,0.0,Chelsea and Clinton
Gabriel's Bar & Restaurant,776,4.5776,4.5,4.4,4.3,4.0,$50 and over,1,2,7,23,67,Italian,0.0,Upper West Side
Gaby Brasserie Française,566,4.3566,4.2,4.4,4.3,4.1,$31 to $50,1,2,14,29,54,French,0.0,Chelsea and Clinton
Gallaghers Steakhouse - Manhattan,5020,4.6502,4.7,4.7,4.6,4.2,$50 and over,1,1,5,19,74,Steakhouse,0.0,Chelsea and Clinton
GAONNURI,1830,4.5183,4.4,4.3,4.6,4.0,$31 to $50,1,2,7,24,66,Japanese & Koren,0.0,Chelsea and Clinton
Gin Parlour - InterContinental New York,50,3.75,3.2,3.4,3.3,2.6,$30 and under,0,17,26,22,35,Contemporary American,0.0,Gramercy Park and Murray Hill
Giorgio's of Gramercy,2089,4.72089,4.6,4.7,4.6,4.3,$31 to $50,0,1,5,18,76,Contemporary American,0.0,Gramercy Park and Murray Hill
Glass House Tavern,3642,4.3364199999999995,4.3,4.4,4.1,4.0,$31 to $50,0,3,11,37,49,Contemporary American,0.0,Chelsea and Clinton
Gran Morsi,266,4.6266,4.5,4.4,4.5,4.1,$31 to $50,0,1,9,20,70,Italian,0.0,Lower Manhattan
Green Fig,176,3.9176,3.9,4.0,3.9,3.6,$31 to $50,4,11,14,33,38,Mediterranean,0.0,Chelsea and Clinton
Greenhouse Cafe,86,4.686,4.5,4.6,4.4,4.6,$30 and under,0,0,5,33,62,Other,0.0,
Greenwich Steakhouse,148,4.4148,4.3,4.5,4.1,4.0,$50 and over,3,4,9,18,66,Steakhouse,0.0,Chelsea and Clinton
Hakkasan - New York,2492,4.6249199999999995,4.6,4.4,4.5,4.0,$50 and over,1,1,7,20,71,Chinese,0.0,Chelsea and Clinton
Hanjan,259,4.6259,4.5,4.3,4.3,3.9,$31 to $50,1,1,6,22,70,Japanese & Koren,0.0,Gramercy Park and Murray Hill
Haru Hell's Kitchen,82,4.482,4.3,4.3,4.2,4.0,$31 to $50,0,4,8,29,59,Japanese & Koren,0.0,Chelsea and Clinton
Haru Sushi - Amsterdam Ave,63,4.563,4.3,4.2,4.0,3.9,$31 to $50,0,1,9,31,59,Japanese & Koren,0.0,Upper West Side
Harvey @ The Williamsburg Hotel,35,4.335,4.0,4.1,4.5,4.1,$30 and under,1,4,11,35,49,Contemporary American,0.0,
Hearth,2270,4.7227,4.7,4.5,4.6,4.2,$50 and over,0,2,3,17,78,American,0.0,Lower East Side
High Street on Hudson,368,4.5368,4.3,4.2,4.3,3.9,$31 to $50,0,5,8,22,65,Contemporary American,0.0,Greenwich Village and Soho
Hunt & Fish Club NYC,1075,4.61075,4.6,4.5,4.5,4.0,$50 and over,1,2,6,18,73,Steakhouse,0.0,Chelsea and Clinton
I Trulli,2088,4.52088,4.5,4.6,4.4,4.2,$31 to $50,0,1,10,24,65,Italian,0.0,Gramercy Park and Murray Hill
Il Buco Alimentari & Vineria,2011,4.72011,4.6,4.5,4.5,4.1,$31 to $50,1,2,4,18,75,Italian,0.0,Greenwich Village and Soho
Il Cantinori,1431,4.71431,4.7,4.6,4.7,4.3,$50 and over,0,1,5,13,81,Italian,0.0,Lower East Side
Il Cortile Restaurant,798,4.6798,4.5,4.5,4.5,4.3,$31 to $50,2,1,6,18,73,Italian,0.0,Greenwich Village and Soho
Il Mulino New York - Downtown,830,4.883,4.7,4.8,4.6,4.4,$50 and over,1,2,2,5,90,Italian,0.0,Greenwich Village and Soho
Il Mulino New York - Uptown,910,4.691,4.7,4.5,4.4,4.1,$50 and over,2,2,6,14,76,Italian,0.0,Upper East Side
Il Mulino Prime,272,4.5272,4.4,4.4,4.2,3.8,$50 and over,2,3,7,18,70,Italian,0.0,Greenwich Village and Soho
Il Postino,473,4.6473,4.6,4.6,4.5,4.0,$50 and over,3,1,7,15,74,Italian,0.0,Gramercy Park and Murray Hill
ilili,4981,4.6498099999999996,4.7,4.4,4.4,4.0,$31 to $50,1,1,5,19,74,Other,0.0,Chelsea and Clinton
Inakaya,1087,4.51087,4.4,4.2,4.2,3.8,$31 to $50,1,2,8,27,62,Japanese & Koren,0.0,Chelsea and Clinton
Indochine,1428,4.61428,4.6,4.3,4.5,4.1,$50 and over,0,1,7,20,72,Southeast Asian,0.0,Lower East Side
Irvington,209,4.5209,4.2,4.0,4.1,3.8,$30 and under,2,2,7,28,61,Contemporary American,0.0,Lower East Side
Jams - NYC,471,4.4471,4.2,4.2,4.3,3.8,$30 and under,0,4,9,26,61,American,0.0,Chelsea and Clinton
Jue Lan Club,315,4.0315,3.7,3.8,4.1,3.5,$31 to $50,7,12,9,22,50,Chinese,0.0,Chelsea and Clinton
Kellari Taverna,5209,4.45209,4.4,4.2,4.3,4.0,$31 to $50,1,3,8,25,63,Greek,0.0,Chelsea and Clinton
Khe-Yo,640,4.763999999999999,4.6,4.4,4.5,4.1,$31 to $50,1,1,4,20,74,Southeast Asian,0.0,Greenwich Village and Soho
Kingside,406,4.1406,4.0,3.6,3.8,3.5,$31 to $50,2,7,14,29,48,American,0.0,Chelsea and Clinton
Kingsley,327,4.5327,4.4,4.5,4.3,3.9,$31 to $50,1,6,6,21,66,Contemporary American,0.0,Lower East Side
La Fonda Del Sol,1141,4.41141,4.4,4.3,4.4,3.9,$31 to $50,0,1,10,31,58,Spanish,0.0,Chelsea and Clinton
La Loteria,245,4.6245,4.5,4.3,4.2,4.1,$31 to $50,1,2,3,23,71,Mexican,0.0,Greenwich Village and Soho
La Masseria,3664,4.63664,4.7,4.6,4.5,4.2,$31 to $50,0,1,4,24,71,Italian,0.0,Chelsea and Clinton
La Pecora Bianca - Midtown,288,4.5288,4.4,4.1,4.4,4.0,$30 and under,1,2,6,25,66,Italian,0.0,Gramercy Park and Murray Hill
La Pecora Bianca - NoMad,911,4.6911,4.5,4.3,4.5,4.2,$30 and under,1,1,4,21,73,Italian,0.0,Gramercy Park and Murray Hill
La Sirena - The Dining Room,724,4.4724,4.3,4.2,4.3,3.9,$31 to $50,3,3,8,26,60,Italian,0.0,Chelsea and Clinton
La Sirene,1442,4.61442,4.6,4.5,4.4,4.4,$31 to $50,1,1,4,24,70,French,0.0,Greenwich Village and Soho
Lafayette,2128,4.52128,4.4,4.3,4.5,3.9,$31 to $50,2,2,6,21,69,French,0.0,Lower East Side
Lavo - NYC,2317,4.62317,4.6,4.5,4.5,4.1,$50 and over,2,1,6,19,72,Italian,0.0,Gramercy Park and Murray Hill
Le Colonial NYC,1860,4.4186,4.2,4.3,4.3,3.8,$31 to $50,2,4,8,27,59,Southeast Asian,0.0,Gramercy Park and Murray Hill
Le Coq Rico,1035,4.71035,4.7,4.6,4.5,4.0,$31 to $50,0,1,5,18,76,French,0.0,Lower East Side
Left Bank NYC,615,4.6615,4.4,4.4,4.3,4.1,$31 to $50,0,3,7,20,70,American,0.0,Greenwich Village and Soho
LEGASEA,261,4.3261,4.3,4.2,4.1,3.7,$50 and over,2,2,11,30,55,Seafood,0.0,Chelsea and Clinton
Leuca,491,4.6491,4.6,4.3,4.6,4.1,$31 to $50,0,2,6,22,70,Italian,0.0,
Lexington Brass,1089,4.51089,4.4,4.2,4.2,3.9,$31 to $50,1,2,7,26,64,American,0.0,Gramercy Park and Murray Hill
Lido,1047,4.51047,4.5,4.5,4.4,4.3,$30 and under,0,2,6,27,65,Italian,0.0,Central Harlem
Limani - NYC,1406,4.61406,4.6,4.3,4.5,4.0,$50 and over,1,1,7,23,68,Mediterranean,0.0,Chelsea and Clinton
Lincoln Ristorante,4697,4.64697,4.6,4.6,4.7,4.0,$31 to $50,1,2,5,19,73,Italian,0.0,Upper West Side
Lincoln Square Steak,1976,4.51976,4.4,4.5,4.4,4.2,$50 and over,1,3,6,24,66,Steakhouse,0.0,Upper West Side
Little Park,780,4.678,4.5,4.3,4.5,3.9,$31 to $50,1,2,6,18,73,Contemporary American,0.0,Lower Manhattan
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI",110,4.511,4.6,4.7,4.5,4.4,$31 to $50,0,0,6,29,65,Italian,0.0,
Lugo Cucina,1445,4.41445,4.2,4.3,4.0,3.9,$31 to $50,2,4,9,27,58,Italian,0.0,Chelsea and Clinton
Lupa,4526,4.74526,4.6,4.5,4.4,4.3,$31 to $50,1,1,5,15,78,Italian,0.0,Greenwich Village and Soho
Lure New York,3269,4.73269,4.7,4.4,4.5,4.1,$31 to $50,1,1,3,16,79,Seafood,0.0,Greenwich Village and Soho
Maiella - LIC,1001,4.61001,4.6,4.4,4.7,4.2,$31 to $50,1,2,7,17,73,Italian,0.0,
Maloney & Porcelli,2222,4.422219999999999,4.4,4.3,4.3,3.9,$50 and over,2,2,9,25,62,American,0.0,Gramercy Park and Murray Hill
Manzo Ristorante - Eataly NYC Flatiron,697,4.5697,4.5,4.2,4.0,3.8,$31 to $50,1,3,8,22,66,Italian,0.0,Gramercy Park and Murray Hill
MarkJoseph Steakhouse,814,4.7814,4.7,4.8,4.5,4.3,$50 and over,0,0,4,19,77,Steakhouse,0.0,Lower Manhattan
Marseille,5752,4.45752,4.3,4.3,4.3,4.1,$31 to $50,1,2,8,32,57,French,0.0,Chelsea and Clinton
Masseria dei Vini,1190,4.6119,4.6,4.6,4.4,4.1,$31 to $50,1,2,4,24,69,Italian,0.0,Chelsea and Clinton
Massoni,191,4.4191,4.3,4.0,4.3,4.1,$31 to $50,2,6,7,22,63,Italian,0.0,Gramercy Park and Murray Hill
Match 65 Brasserie (formerly Paris Match),638,4.5638,4.4,4.5,4.4,4.0,$31 to $50,0,2,8,25,65,French,0.0,Upper East Side
Meet the Meat,191,4.8191,4.7,4.8,4.6,4.5,$31 to $50,0,2,2,14,82,Steakhouse,0.0,
Mercer Kitchen,4598,4.54598,4.3,4.1,4.4,3.9,$30 and under,2,3,9,21,65,American,0.0,Greenwich Village and Soho
Michael Jordan's The Steak House N.Y.C.,2160,3.9216,3.9,3.8,4.0,3.6,$31 to $50,3,8,19,38,32,Steakhouse,0.0,Gramercy Park and Murray Hill
Michael's,1135,4.71135,4.6,4.6,4.6,4.1,$31 to $50,0,0,4,17,79,American,0.0,Chelsea and Clinton
MIFUNE New York,55,4.455,4.5,4.4,4.4,4.1,$31 to $50,2,2,8,26,62,Japanese & Koren,0.0,Gramercy Park and Murray Hill
Molyvos,4103,4.4410300000000005,4.4,4.3,4.2,3.9,$31 to $50,1,3,9,29,58,Greek,0.0,Chelsea and Clinton
Momofuku Nishi,493,4.5493,4.5,4.5,4.2,3.9,$31 to $50,1,2,9,24,64,Contemporary American,0.0,Chelsea and Clinton
Monkey Bar,970,4.697,4.3,4.4,4.6,3.9,$50 and over,1,2,7,18,72,American,0.0,Gramercy Park and Murray Hill
Montebello Ristorante Italiano,612,4.4612,4.3,4.6,4.1,3.9,$31 to $50,0,0,15,31,54,Italian,0.0,Gramercy Park and Murray Hill
Morimoto New York,5894,4.65894,4.6,4.5,4.6,4.0,$50 and over,1,2,5,17,75,Japanese & Koren,0.0,Chelsea and Clinton
Morrell Wine Bar & Cafe,761,4.5761,4.2,4.2,4.4,3.8,$31 to $50,1,2,9,26,62,American,0.0,Chelsea and Clinton
Morton's The Steakhouse - Midtown Manhattan,3031,4.63031,4.7,4.6,4.5,4.2,$50 and over,2,1,5,18,74,Steakhouse,0.0,Gramercy Park and Murray Hill
Morton's The Steakhouse - World Trade Center,541,4.6541,4.7,4.7,4.6,4.5,$50 and over,1,2,5,17,75,Steakhouse,0.0,Lower Manhattan
MR CHOW - 57th,1710,4.6171,4.6,4.6,4.4,4.0,$50 and over,1,3,8,12,76,Chinese,0.0,Gramercy Park and Murray Hill
MR CHOW - TriBeca,1520,4.5152,4.4,4.4,4.5,3.8,$50 and over,3,3,6,12,76,Chinese,0.0,Greenwich Village and Soho
Naoki Takahashi,92,4.692,4.6,4.6,4.7,4.3,$31 to $50,0,3,7,16,74,Japanese & Koren,0.0,Chelsea and Clinton
Naples 45 Ristorante E Pizzeria,976,4.4976,4.2,4.1,3.9,3.7,$30 and under,1,3,10,31,55,Italian,0.0,
Narcissa Restaurant,759,4.6759,4.4,4.3,4.5,4.0,$31 to $50,1,2,6,22,69,Contemporary American,0.0,Lower East Side
Natsumi Restaurant,1620,4.5162,4.5,4.3,4.1,4.1,$31 to $50,0,1,9,32,58,Japanese & Koren,0.0,Chelsea and Clinton
Neta,569,4.6569,4.6,4.4,4.1,3.9,$50 and over,1,3,6,20,70,Japanese & Koren,0.0,Chelsea and Clinton
Nice Matin,2140,4.4214,4.3,4.3,4.2,4.0,$31 to $50,2,2,9,33,54,French,0.0,Upper West Side
Nick & Stef’s Steakhouse - New York,1931,4.41931,4.3,4.4,4.1,3.7,$31 to $50,0,5,8,31,56,Steakhouse,0.0,Chelsea and Clinton
Nickel & Diner,142,4.6142,4.5,4.4,4.5,4.2,$31 to $50,2,1,5,18,74,American,0.0,Greenwich Village and Soho
Nobu Downtown | Bar & Lounge,33,4.7330000000000005,4.7,4.4,4.5,3.9,$50 and over,1,2,7,12,78,Japanese & Koren,0.0,Lower Manhattan
Noreetuh,434,4.7434,4.7,4.7,4.5,4.4,$31 to $50,0,1,4,18,77,American,0.0,Lower East Side
North Square,1681,4.61681,4.5,4.5,4.3,4.5,$31 to $50,1,2,5,28,64,American,0.0,Chelsea and Clinton
Nougatine at Jean Georges,5918,4.65918,4.6,4.4,4.5,4.2,$31 to $50,0,2,5,19,74,French,0.0,Upper West Side
NYY Steak Midtown- New York Yankees Steakhouse,995,4.7995,4.6,4.7,4.6,4.2,$31 to $50,0,1,4,21,74,Steakhouse,0.0,Chelsea and Clinton
Obao,1702,4.317019999999999,4.3,4.2,4.2,4.2,$31 to $50,2,3,10,32,53,Southeast Asian,0.0,Chelsea and Clinton
Obica Mozzarella Bar  Pizza e Cucina,546,4.4546,4.3,4.2,4.2,4.0,$31 to $50,2,2,8,26,62,Italian,0.0,Gramercy Park and Murray Hill
Ocean Prime - New York,1701,4.71701,4.7,4.6,4.6,4.2,$31 to $50,0,1,4,17,78,Seafood,0.0,Chelsea and Clinton
Orsay,1899,4.5189900000000005,4.3,4.3,4.4,3.9,$31 to $50,1,3,7,24,65,French,0.0,Upper East Side
Ortzi by Jose Garces,250,4.525,4.5,4.5,4.2,4.0,$31 to $50,1,1,6,32,60,Spanish,0.0,Chelsea and Clinton
Osteria della Pace - Eataly NYC Downtown,294,4.4294,4.3,4.3,4.4,3.9,$31 to $50,1,2,11,24,62,Italian,0.0,Lower Manhattan
Ousia,383,4.5383,4.4,4.4,4.5,4.1,$31 to $50,1,1,10,26,62,Mediterranean,0.0,Chelsea and Clinton
Pampano New York,1870,4.5187,4.4,4.3,4.3,4.0,$31 to $50,1,2,6,26,65,Mexican,0.0,Gramercy Park and Murray Hill
Park Avenue Spring,1837,4.61837,4.6,4.5,4.7,4.2,$31 to $50,2,2,4,16,76,American,0.0,Gramercy Park and Murray Hill
Pera Mediterranean Brasserie,1657,4.41657,4.4,4.2,4.1,3.8,$31 to $50,1,4,7,31,57,Mediterranean,0.0,Gramercy Park and Murray Hill
Pera Soho,570,4.357,4.2,3.7,4.4,3.9,$31 to $50,3,5,9,25,58,Mediterranean,0.0,Greenwich Village and Soho
Periyali,1781,4.71781,4.6,4.5,4.5,4.2,$31 to $50,0,1,5,19,75,Greek,0.0,Chelsea and Clinton
